AccX,AccY,AccZ
-0.03,-0.01,1.04
-0.03,0,1.04
-0.03,-0.01,1.04
-0.03,-0.01,1.04
0,-0.01,1.03
-0.06,0,1.04
-0.05,0,1.04
0.14,0.01,1.04
-0.08,0.03,1.06
-0.07,0.03,1.03
-0.07,0.08,1.04
-0.02,0.14,0.97
-0.03,0.18,1.03
0,0.2,1.02
-0.05,0.26,1.01
-0.07,0.31,1
-0.03,0.32,0.99
-0.15,0.33,0.99
-0.02,0.3,0.99
-0.05,0.29,1.01
-0.11,0.31,0.97
-0.04,0.34,1.02
0.04,0.33,0.99
0,0.33,0.99
-0.03,0.34,0.98
0.05,0.34,0.99
-0.01,0.34,0.98
0.11,0.31,0.95
-0.06,0.37,0.97
-0.01,0.35,0.99
0.07,0.43,0.96
-0.02,0.42,0.95
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93
-0.03,0.45,0.93